"","Parameter","min","max","fifth","ninetyfifth","median"
"1","a5",0.985,0.985,0.985,0.985,0.985
"2","ak",-1,400,0,71.3072,8
"3","ak2",0,0.96,0,0.476,0.066
"4","ak2fs",-432000000,0.96,0,0.492,0.038
"5","akfs",-1,400,0,87.6016,2
"6","alb",0,0.18,0.11,0.18,0.11
"7","base",-99,11.2,-3.514,2.73,-1
"8","ds",0,12000000000,0,20,1.2
"9","dsfs",0,22000000000,0,28.5,1.7
"10","fcap",0.15,1,0.15,0.3,0.15
"11","ffcap",0.08,1,0.1,0.5,0.1
"12","flint",0,1,1,1,1
"13","flz",0,0.75,0,0.0046,0
"14","fm",0.042,0.814,0.058,0.4702,0.112
"15","fmn",0,0.137,0.0344,0.1,0.1
"17","fratio",0.18,4.4,0.6,1.449,1
"19","kcond",0.0163,10,0.1,2,0.232
"20","mndr",1,1.5,1,1.125,1
"21","pwr",1.24,3.92,1.58,3.84,2.75
"22","r1",0.004,2,0.0075,2,0.4
"23","r2",0.001,3.862,0.0019,1.534,0.0175
"24","r3",0,920,0.009,84.8,19.7
"25","r3fs",0,500,0.1,30,10
"26","r4",0,10,1,10,10
"27","rec",0,41.2,0.0001,3.9895,0.5135
"28","retn",0,456,0,299.55,53.55
"29","rho",0.33,0.6,0.33,0.5,0.333
"30","spore",0.25,1,0.3,0.3,0.3
"31","sublim_rate",0,2,0.01,0.959,0.25
"32","theta",0.1,2.5,0.1107,1,0.392
"33","tipm",0.1,0.2,0.1,0.2,0.1
"34","whcl",0.035,0.05,0.035,0.04,0.035
